filename,num_actual_colors,color1_r,color1_g,color1_b,ratio1,color2_r,color2_g,color2_b,ratio2,color3_r,color3_g,color3_b,ratio3,color4_r,color4_g,color4_b,ratio4,color5_r,color5_g,color5_b,ratio5
image_54.jpg,5,252,1,252,0.36031111111111114,6,70,130,0.2242222222222222,6.0,89.0,94.0,0.07475555555555556,56.0,50.0,150.0,0.12226666666666666,9.0,223.0,25.0,0.0695111111111111
image_55.jpg,4,111,114,169,0.39688888888888885,238,241,214,0.4090222222222222,86.0,87.0,85.0,0.11804444444444445,169.0,172.0,165.0,0.07604444444444444,,,,
image_56.jpg,5,0,0,0,0.4030222222222222,32,60,142,0.22897777777777778,238.0,125.0,159.0,0.22093333333333334,207.0,53.0,48.0,0.08488888888888889,253.0,253.0,253.0,0.04555555555555556
image_57.jpg,3,253,241,0,0.6990222222222222,109,136,137,0.2833777777777778,154.0,167.0,57.0,0.011555555555555555,,,,,,,,
image_58.jpg,5,233,85,14,0.2596,176,176,176,0.46,4.0,3.0,3.0,0.15897777777777777,141.0,138.0,136.0,0.06377777777777778,195.0,107.0,65.0,0.019911111111111112
image_59.jpg,5,245,243,228,0.7230666666666666,158,188,8,0.1196,7.0,78.0,47.0,0.10946666666666667,175.0,184.0,166.0,0.019733333333333332,135.0,146.0,131.0,0.016044444444444445
image_6.jpg,5,26,185,222,0.4363111111111111,254,254,254,0.36444444444444446,2.0,2.0,3.0,0.1344,221.0,10.0,21.0,0.03497777777777778,19.0,34.0,44.0,0.010044444444444444
image_60.jpg,3,254,254,254,0.4967111111111111,254,74,1,0.24480000000000002,153.0,84.0,235.0,0.2436888888888889,,,,,,,,
image_61.jpg,5,43,55,136,0.3111555555555556,31,16,12,0.21573333333333333,248.0,191.0,23.0,0.16066666666666668,252.0,241.0,221.0,0.19275555555555557,212.0,176.0,124.0,0.08253333333333333
image_62.jpg,5,3,99,162,0.6951555555555555,233,181,13,0.0948,81.0,123.0,148.0,0.053644444444444446,63.0,93.0,85.0,0.0368,140.0,155.0,168.0,0.03617777777777778
image_63.jpg,5,214,206,193,0.5727555555555556,128,80,249,0.21999999999999997,68.0,73.0,68.0,0.08817777777777777,247.0,110.0,199.0,0.04493333333333333,213.0,187.0,228.0,0.023955555555555556
image_64.jpg,5,238,243,225,0.18208888888888888,21,13,44,0.15893333333333334,235.0,64.0,57.0,0.15262222222222221,82.0,154.0,208.0,0.24688888888888888,74.0,31.0,62.0,0.07217777777777777
image_65.jpg,4,88,88,93,0.5656,2,1,1,0.26266666666666666,248.0,1.0,1.0,0.14048888888888889,180.0,45.0,38.0,0.013911111111111112,,,,
image_66.jpg,5,13,10,27,0.5652444444444444,42,28,70,0.2490222222222222,93.0,56.0,150.0,0.04968888888888889,132.0,97.0,99.0,0.033022222222222224,180.0,174.0,179.0,0.03062222222222222
